date,team
20180329,ARI
20180329,ATL
20180329,SFN
20180329,CHN
20180329,NYN
20180329,MIL
20180329,BAL
20180329,CHA
20180329,OAK
20180329,SEA
20180329,TBA
20180329,HOU
20180329,NYA
20180330,ARI
20180330,PHI
20180330,WAS
20180330,SFN
20180330,MIA
20180330,MIL
20180330,PIT
20180330,ANA
20180330,BOS
20180330,TEX
20180330,NYA
20180331,COL
20180331,ATL
20180331,WAS
20180331,LAN
20180331,CHN
20180331,NYN
20180331,MIL
20180331,MIN
20180331,CHA
20180331,ANA
20180331,CLE
20180331,BOS
20180331,HOU
20180331,TOR
20180401,WAS
20180401,LAN
20180401,MIA
20180401,SLN
20180401,MIN
20180401,PIT
20180401,PIT
20180401,ANA
20180401,SEA
20180401,BOS
20180401,HOU
20180401,TOR
20180402,ARI
20180402,WAS
20180402,CIN
20180402,BOS
20180402,SLN
20180402,PIT
20180402,COL
20180402,CLE
20180402,DET
20180402,HOU
20180402,OAK
20180402,TOR
20180403,ARI
20180403,ATL
20180403,BOS
20180403,MIL
20180403,NYN
20180403,SDN
20180403,SEA
20180403,ANA
20180403,KCA
20180403,HOU
20180403,NYA
20180403,TEX
20180403,TOR
20180404,ARI
20180404,ATL
20180404,SLN
20180404,NYN
20180404,MIN
20180404,COL
20180404,SFN
20180404,ANA
20180404,HOU
20180404,NYA
20180404,OAK
20180404,CHA
20180405,CHN
20180405,PHI
20180405,PIT
20180405,COL
20180405,ARI
20180405,NYN
20180405,BOS
20180405,DET
20180405,MIN
20180405,BAL
20180405,TEX
20180406,ATL
20180406,MIL
20180406,PIT
20180406,ANA
20180406,CLE
20180406,SDN
20180406,BAL
20180406,TOR
20180407,COL
20180407,CHN
20180407,PHI
20180407,CIN
20180407,SFN
20180407,SLN
20180407,NYN
20180407,OAK
20180407,BOS
20180407,DET
20180407,KCA
20180407,HOU
20180407,SEA
20180407,NYA
20180407,TEX
20180408,ATL
20180408,CHN
20180408,MIA
20180408,PIT
20180408,LAN
20180408,ARI
20180408,NYN
20180408,ANA
20180408,BOS
20180408,DET
20180408,CLE
20180408,HOU
20180408,BAL
20180408,TOR
20180409,SDN
20180409,NYN
20180409,PHI
20180409,ARI
20180409,MIL
20180409,WAS
20180409,TOR
20180409,TBA
20180409,CLE
20180409,KCA
20180409,HOU
20180409,ANA
20180410,PIT
20180410,SDN
20180410,LAN
20180410,NYN
20180410,PHI
20180410,SFN
20180410,SLN
20180410,WAS
20180410,TOR
20180410,BOS
20180410,TBA
20180410,CLE
20180410,SEA
20180410,MIN
20180410,ANA
20180411,CHN
20180411,COL
20180411,OAK
20180411,NYN
20180411,PHI
20180411,ARI
20180411,MIL
20180411,ATL
20180411,BAL
20180411,NYA
20180411,CHA
20180411,CLE
20180411,SEA
20180411,MIN
20180411,ANA
20180412,PIT
20180412,SLN
20180412,SFN
20180412,COL
20180412,BOS
20180412,CLE
20180412,ANA
20180412,MIN
20180413,ATL
20180413,SLN
20180413,ARI
20180413,MIA
20180413,NYN
20180413,SDN
20180413,COL
20180413,BOS
20180413,TOR
20180413,NYA
20180413,HOU
20180413,ANA
20180413,SEA
20180413,PHI
20180414,CHN
20180414,SLN
20180414,ARI
20180414,PIT
20180414,MIL
20180414,SDN
20180414,WAS
20180414,BOS
20180414,TEX
20180414,ANA
20180414,SEA
20180414,PHI
20180415,SLN
20180415,LAN
20180415,PIT
20180415,NYN
20180415,SDN
20180415,COL
20180415,BOS
20180415,TEX
20180415,OAK
20180415,PHI
20180416,ATL
20180416,CIN
20180416,WAS
20180416,COL
20180416,LAN
20180416,NYA
20180416,OAK
20180416,SEA
20180416,TBA
20180417,ARI
20180417,PHI
20180417,SLN
20180417,MIL
