Record Type|Document Number|Local Report Number|Crash Severity|Private Property Indicator|Hit/Skip|Photos Taken|Reporting Agency NCIC|Number of Units|Unit in Error|Crash Date|Time of Crash|Day of Week|In City, Village, Township|FIPS Place Code|Enter Name of City, Village, Township|County|Latitude|Longitude|Crash/Loc Prefix|Location Road Name|Location Road Type|Distance from Reference|Direction from Reference|Ref Road Prefix|Reference Road Name|Reference Route Type|Reference Point Used|Crash Location|Location of First Harmful Event|Road Contour|Road Conditions - Primary|Road Conditions - Secondary|Manner of Crash Collision/Impact|Weather|Light Conditions - Primary|Light Conditions - Secondary|School Bus Related|Work Zone Related|Type of Work Zone|Location of Crash in Work Zone|Workers Present|Road Surface|Number of Lanes|Alcohol Related|Drug Related|Total Injured|Total Killed|Animal Related|Bicycle Related|Motorcycle Related|Speed Related|Pedestrian Related|Semi-Truck Related|Small Truck Related|Youth Related|Teen Related|Drinking Driver <21 Related|Senior Related|Local Information|Divided/Undivided roadway|Divided Lane Direction of Travel|Location Route Number|Location Route Type|Distance from Reference Measurement|Reference Route Number|Intersection Related|School Zone Related|Law Enforcement Present in Work Zone|Reference Road Type
C|20146000002|140000198|3|0|1|0|COP00|3|3|1012014|5|4|1|18000|Columbus|25|39.93497|82.99019|E|Moler|ST|0.0||S|Sixth||1|3|1|1|1||8|1|4||1|0|0|0|0.0|2|1|1|0|0|0|0|0|0|0|1|0|0|1|1|1|0|5/113|2||||0||1|0|1|ST
C|20146000102|140003459|3|0|0|0|COP00|2|2|1022014|650|5|1|18000|Columbus|25|39.952138|82.98239000000002|S|Parsons|AV|15.0|N|E|Livingston||1|2|1|1|3|7.0|2|6|4||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|S|||2||0|0|1|AV
C|20146000202|48-0045-26|3|0|0|1|OHP48|1|1|1022014|2316|5|3|75896|Swanton|26|41.55950900000001|83.88758||||12.0|S||CR F||1|1|4|1|3||1|2|5||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||2||1-1|CR|2||1|0|1|RD
C|20146000302|60-0004-60|3|0|0|1|OHP60|1|1|1022014|1015|5|3|26502|Falls (Township of)|60|39.961953|82.06588||||0.6|W|||CR|1|1|4|4|3|4.0|1|6|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||2||144|CR|1|35|0|0|1|
C|20146000402|85-0001-85|2|0|0|1|OHP85|1|1|1012014|129|4|2|19344|Creston|85|40.954751|81.86444||||0.1|N|||CR|1|1|4|1|2||1|1|5||1|0|0|0|0.0|2|2|1|0|1|0|0|0|0|1|0|0|0|1|0|0|0||2||0073|TR|1|0070|0|0|1|
C|20146000502|2014000000381|3|0|0|0|03142|2|1|1032014|1808|6|3|21504|Delhi (Township of)|31|39.217886|84.6694||||0.0|||29.2||2|1|1|2|1||2|1|5||1|0|0|0||2|3|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|2|1|W|0275|IR|0||0|0|0|MP
C|20146000603|05-0011-05|3|0|0|1|OHP05|1|1|1022014|1530|5|3|77546|Troy (Township of)|5|39.215617|81.85712||||300.0|E||31||2|1|4|4|3|4.0|1|6|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||1|E|50|US|2||0|0|1|MP
C|20146000703|00000000014-26|3|0|0|1|04507|1|1|1042014|453|7|1|34748|Heath (Fourmile Lock)|45|40.02191|82.24063000000002||LINNVILLE|RD|200.0|S||485||3|1|4|4|1|3.0|1|1|4||1|0|0|0|0.0|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||2||0|0|1|
C|20146000803|17-0004-88|3|0|0|1|OHP17|1|1|1022014|830|5|3|62904|Pitt (Township of)|88|40.766131|83.23728||||0.1|N||6||2|1|4|2|7|3.0|1|6|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0||1|S|23|US|1||0|0|1|MP
C|20146000903|09-0017-09|2|0|0|1|OHP09|2|1|1032014|1545|6|3|78246|West Chester (Township of) AKA Union Township|9|39.318602|84.42733||||0.1|S||19||2|1|1|1|1||2|1|1||1|0|0|0|0.0|2|4|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0||1|S|75|IR|1||0|0|1|MP
C|20146001003|71-0048-71|3|0|0|1|OHP71|1|98|1042014|1842|7|3|16630|Colerain (Township of)|71|39.45127700000001|82.80323||||0.5|W||9||2|1|1|1|1||1|1|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||2||180|SR|1||0|0|1|MP
C|20146001103|76-0044-76|3|0|0|1|OHP76|2|1|1032014|1200|6|3|62078|Perry (Township of)|76|40.803956|81.42586999999997||Whipple|AV|150.0|N||4th||1|1|1|2|1||2|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||||2||0|0|1|ST
C|20146001203|1401-002|3|0|0|0|07718|1|1|1032014|945|6|3|7776|Boston (Township of)|77|41.25565200000001|81.56997||||1.0|S||15.0||2|1|1|2|4||1|6|1||1|0|0|0||1|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||1|S|0271|IR|1||0|0|0|MP
C|20146001303|18-0010-18|3|0|0|1|OHP18|2|1|1022014|1520|5|1|16000|Cleveland|18|41.517641|81.67522||||150.0|E||174.2||2|1|1|1|3||6|6|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|E|90|IR|2||0|0|1|MP
C|20146001403|22-0023-62|3|0|0|1|OHP22|1|1|1042014|1339|7|3|4304|Bay (Township of)|62|41.490487|82.99226||||0.1|S||4||2|1|4|1|3||1|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||2||53|SR|1||0|0|1|MP
C|20146001503|145000061|3|0|1|0|CIP00|2|1|1032014|1757|6|1|15000|Cincinnati|31|39.138906|84.53399999999999|S|Hopple|ST|0.0|||3.5||2|1|1|1|1||2|1|4||1|0|0|0|0.0|1|4|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|5|2||75|IR|0||0|0|1|MP
