maxTemp,minTemp,wind,longitude,latitude
28.55,15.76,19.9,-90.3,46.6
28.45,15.31,21.38,-90.2,46.5
28.26,15.39,21.06,-90.2,46.6
29.2,15.8,20.93,-90.1,46.4
28.22,15.05,21.97,-90.1,46.5
28.46,15.36,21.53,-90.1,46.6
29.35,15.84,20.88,-90.0,46.4
28.92,15.63,21.33,-90.0,46.5
28.74,15.55,21.31,-90.0,46.6
30.25,16.17,20.55,-89.9,46.3
29.55,15.92,20.76,-89.9,46.4
29.15,15.74,21.18,-89.9,46.5
29.05,15.9,21.65,-89.9,46.6
28.01,15.79,21.61,-89.9,46.7
30.4,16.23,20.49,-89.8,46.3
30.09,16.12,20.88,-89.8,46.4
29.41,16.0,21.39,-89.8,46.5
32.36,16.02,22.1,-89.8,46.6
31.79,16.02,22.23,-89.8,46.7
30.08,15.53,22.2,-89.8,46.8
30.86,16.53,20.4,-89.7,46.3
30.3,16.36,21.16,-89.7,46.4
32.97,16.26,21.72,-89.7,46.5
32.4,16.12,22.05,-89.7,46.6
31.98,16.05,21.85,-89.7,46.7
30.91,16.01,22.82,-89.7,46.8
31.09,16.63,20.48,-89.6,46.3
30.82,16.64,20.75,-89.6,46.4
33.23,16.56,21.23,-89.6,46.5
32.64,16.29,21.52,-89.6,46.6
32.01,16.13,21.83,-89.6,46.7
30.93,16.06,22.86,-89.6,46.8
31.19,16.7,20.42,-89.5,46.3
30.77,16.61,20.52,-89.5,46.4
33.28,16.64,21.18,-89.5,46.5
33.13,16.67,21.41,-89.5,46.6
32.16,16.24,22.86,-89.5,46.7
31.53,16.26,23.18,-89.5,46.8
31.92,16.84,19.62,-89.4,46.2
31.7,16.88,19.87,-89.4,46.3
30.92,16.68,20.46,-89.4,46.4
33.31,16.71,21.14,-89.4,46.5
33.33,16.57,20.99,-89.4,46.6
32.86,16.49,22.23,-89.4,46.7
31.69,16.36,22.38,-89.4,46.8
32.18,16.75,19.11,-89.3,46.2
31.69,16.84,19.44,-89.3,46.3
33.89,16.85,19.57,-89.3,46.4
33.76,16.9,19.73,-89.3,46.5
33.41,16.81,20.88,-89.3,46.6
32.97,16.82,22.2,-89.3,46.7
32.69,16.7,22.42,-89.3,46.8
32.45,16.72,18.6,-89.2,46.2
32.31,17.12,19.28,-89.2,46.3
34.03,16.95,19.41,-89.2,46.4
33.9,17.01,19.59,-89.2,46.5
33.46,16.88,21.0,-89.2,46.6
33.08,16.93,22.17,-89.2,46.7
32.78,16.8,22.43,-89.2,46.8
31.62,16.64,22.41,-89.2,46.9
24.87,13.82,31.79,-89.2,47.9
32.64,17.01,19.0,-89.1,46.2
32.26,17.08,19.25,-89.1,46.3
34.24,17.23,19.53,-89.1,46.4
34.0,17.26,19.72,-89.1,46.5
33.93,17.42,19.37,-89.1,46.6
33.24,17.15,20.98,-89.1,46.7
32.73,17.11,22.05,-89.1,46.8
32.02,16.75,22.68,-89.1,46.9
25.29,13.9,29.21,-89.1,47.9
32.43,17.13,19.24,-89.0,46.2
32.3,17.25,19.1,-89.0,46.3
32.34,17.51,18.91,-89.0,46.4
34.22,17.59,19.28,-89.0,46.5
34.02,17.65,19.24,-89.0,46.6
33.9,17.71,19.42,-89.0,46.7
33.26,17.66,20.61,-89.0,46.8
32.58,17.15,21.96,-89.0,46.9
26.3,14.4,29.18,-89.0,47.9
33.07,17.66,19.16,-88.9,46.1
32.77,17.65,19.35,-88.9,46.2
32.51,17.57,18.81,-88.9,46.3
32.41,17.64,18.89,-88.9,46.4
34.14,17.69,19.05,-88.9,46.5
34.02,17.75,19.19,-88.9,46.6
33.89,17.79,19.39,-88.9,46.7
