County	January	February	March	April	May	June	July	August	September	October	November	December	Total
Alcona	7	7	0	1	0	0	0	0	0	0	5	1	21
Alger	8	17	5	0	0	0	0	0	0	2	4	1	37
Allegan	206	169	6	0	0	0	0	0	0	1	30	17	429
Alpena	16	20	1	0	0	0	0	0	0	1	9	5	52
Antrim	30	24	10	0	0	0	0	0	0	3	5	3	75
Arenac	11	5	1	3	0	0	0	0	0	0	7	3	30
Baraga	4	4	3	1	0	0	0	0	0	0	3	7	22
Barry	39	25	2	0	0	0	0	0	0	0	13	13	92
Bay	83	41	24	0	1	0	1	0	0	0	22	16	188
Benzie	11	26	3	0	0	0	0	0	0	0	9	1	50
Berrien	282	432	33	0	0	0	0	0	0	0	62	41	850
Branch	37	46	5	0	0	0	0	0	0	0	26	29	143
Calhoun	195	106	7	0	0	0	0	0	0	0	54	74	436
Cass	39	69	7	0	0	0	0	0	0	0	17	18	150
Charlevoix	15	8	1	0	0	0	0	0	0	0	5	4	33
Cheboygan	11	5	9	0	0	0	0	1	0	4	3	5	38
Chippewa	47	27	21	1	0	0	0	0	0	0	7	6	109
Clare	41	22	4	3	0	0	0	0	0	0	9	12	91
Clinton	52	48	8	0	0	0	0	0	0	0	25	21	154
Crawford	25	14	4	0	0	0	0	0	0	1	17	3	64
Delta	12	18	8	2	0	0	0	0	0	0	6	2	48
Dickinson	17	8	4	7	0	0	0	0	0	0	2	3	41
Eaton	87	74	5	0	0	0	0	0	0	0	37	36	239
Emmet	12	11	5	0	0	0	0	0	0	1	8	8	45
Genesee	326	167	61	1	0	0	0	0	0	2	123	120	800
Gladwin	8	9	1	0	0	0	0	0	0	0	8	1	27
Gogebic	8	16	2	0	0	0	0	0	0	0	11	9	46
Grand Traverse	139	201	18	3	0	0	0	0	0	0	33	39	433
Gratiot	33	25	6	0	0	0	0	0	0	0	13	0	77
Hillsdale	35	39	2	0	0	0	0	0	0	0	34	8	118
Houghton	42	47	19	6	0	0	0	0	0	0	16	37	167
Huron	32	25	9	2	0	0	0	0	0	0	11	1	80
Ingham	241	143	32	2	0	0	0	0	1	0	100	84	603
Ionia	62	54	6	1	0	0	0	0	0	0	12	9	144
Iosco	11	8	2	1	0	0	0	0	0	0	7	10	39
Iron	2	1	0	2	0	0	0	0	0	0	3	2	10
Isabella	86	55	12	2	0	0	0	0	0	1	29	5	190
Jackson	201	81	14	0	0	0	0	0	0	0	91	36	423
Kalamazoo	350	261	12	2	0	0	0	0	0	2	59	131	817
Kalkaska	36	12	1	0	0	0	0	0	0	2	6	3	60
Kent	764	519	68	8	0	0	0	0	0	1	126	226	1,712
Keweenaw	6	2	0	1	0	0	0	0	0	0	1	2	12
Lake	11	8	2	0	0	0	0	0	0	0	5	7	33
Lapeer	78	50	33	3	0	0	0	0	0	0	50	18	232
Leelanau	14	18	4	0	0	0	0	0	0	0	8	6	50
Lenawee	47	47	10	0	0	0	0	0	0	0	29	12	145
Livingston	159	108	19	2	0	1	0	0	0	4	102	47	442
Luce	6	5	6	0	0	0	0	0	0	0	5	5	27
Mackinac	19	15	9	7	0	0	0	0	0	0	1	3	54
Macomb	444	355	112	1	0	0	0	0	0	0	102	60	1,074
Manistee	34	30	5	0	0	0	0	0	0	0	6	12	87
Marquette	51	110	19	15	0	0	0	0	0	4	23	31	253
Mason	58	62	10	0	0	0	0	0	0	0	7	4	141
Mecosta	36	45	5	0	0	0	0	0	0	0	13	12	111
Menominee	6	4	8	1	0	0	0	0	0	0	2	2	23
Midland	56	22	12	2	0	0	0	0	0	1	15	8	116
Missaukee	14	9	0	1	0	0	0	0	0	2	11	6	43
Monroe	109	128	18	0	0	0	0	0	0	0	15	16	286
Montcalm	50	35	3	2	0	0	0	0	0	0	19	8	117
Montmorency	9	1	0	1	0	0	0	0	0	0	4	3	18
Muskegon	249	287	13	0	0	0	0	0	0	0	23	7	579
Newaygo	49	28	5	0	0	0	0	0	0	0	18	4	104
Oakland	863	633	193	10	1	0	0	0	0	0	367	220	2,287
Oceana	36	39	5	0	0	0	0	0	0	0	6	1	87
Ogemaw	9	19	1	3	0	0	0	0	0	0	11	7	50
Ontonagon	7	5	6	0	0	0	0	0	0	0	6	12	36
Osceola	38	16	2	2	0	0	0	0	0	0	10	13	81
Oscoda	8	3	1	0	0	0	0	0	0	0	7	1	20
Otsego	55	12	9	4	0	0	0	0	0	0	25	9	114
Ottawa	399	388	16	1	0	0	0	0	0	0	46	33	883
Presque Isle	17	10	2	1	0	0	0	0	0	2	1	3	36
Roscommon	14	8	4	5	0	0	0	0	0	1	11	7	50
Saginaw	150	85	39	7	0	0	0	0	0	0	49	25	355
St. Clair	93	65	36	3	0	0	0	0	0	1	23	23	244
St. Joseph	39	45	4	0	0	0	0	0	0	0	20	13	121
Sanilac	32	17	14	1	0	0	0	0	0	0	13	5	82
Schoolcraft	13	11	0	2	0	0	0	0	0	1	1	1	29
Shiawassee	40	41	4	0	0	0	0	0	0	0	26	12	123
Tuscola	33	27	16	1	0	0	0	0	0	0	20	4	101
Van Buren	134	155	4	0	0	0	0	0	0	0	33	31	357
Washtenaw	308	233	42	1	0	0	1	0	0	0	123	25	733
Wayne	1,143	877	182	2	1	0	1	0	0	1	217	131	2,555
Wexford	29	55	13	5	0	0	0	0	0	0	12	13	127
