Crash Instance	Worst Injury in Crash	Crash Longitude	Crash Latitude	Crash Report
2015100675	B - nonincapacitating injury	-85.800058172968	46.18084431116	UD-10
201510428	B - nonincapacitating injury	-84.789822248845	45.440443992449	UD-10
2015104495	C - possible injury	-86.740535569118	46.321992916472	UD-10
2015104570	No injury	-85.860376433662	42.738967409964	UD-10
2015105193	A - incapacitating injury	-85.836188702043	44.772364145356	UD-10
2015106068	A - incapacitating injury	-85.483634043104	41.875491838558	UD-10
2015106317	C - possible injury	-85.703826610636	46.309510725084	UD-10
201511928	B - nonincapacitating injury	-85.72090105647	44.425194108759	UD-10
201511992	B - nonincapacitating injury	-85.403925590975	43.865777605951	UD-10
201512223	A - incapacitating injury	-85.849874553891	43.267780456756	UD-10
201512836	No injury	-84.164175021592	46.363569085717	UD-10
201513939	C - possible injury	-85.918523915019	44.5339711822	UD-10
201517334	C - possible injury	-89.012113811027	46.556852689282	UD-10
201517688	B - nonincapacitating injury	-83.432389693911	43.628838813508	UD-10
201517877	C - possible injury	-85.618124874516	43.58429598679	UD-10
201518127	A - incapacitating injury	-84.551456482753	46.360820025168	UD-10
201518864	C - possible injury	-83.360621330608	42.627193483883	UD-10
201520780	No injury	-85.511744264408	44.67990727913	UD-10
201522294	B - nonincapacitating injury	-84.970398918174	44.767687018835	UD-10
201523414	No injury	-82.621439618102	42.933385579213	UD-10
201526594	C - possible injury	-88.533675091365	46.131239666743	UD-10
201526708	A - incapacitating injury	-83.36768691342	43.505122056952	UD-10
201526895	B - nonincapacitating injury	-85.039215942012	42.770683368895	UD-10
201527866	A - incapacitating injury	-85.493314923755	44.014436135557	UD-10
201528011	A - incapacitating injury	-82.63914987732	42.67631835496	UD-10
201530093	No injury	-85.790072380071	43.293003810025	UD-10
201532310	A - incapacitating injury	-84.484066105388	45.648368506774	UD-10
201533350	No injury	-82.995564714258	42.699455054772	UD-10
201534571	C - possible injury	-84.673468724015	45.139137069932	UD-10
201534662	A - incapacitating injury	-84.827226280307	44.209248111641	UD-10
201535067	B - nonincapacitating injury	-85.692815232846	43.439001714006	UD-10
201535324	B - nonincapacitating injury	-83.661044655626	43.235162164867	UD-10
201538347	No injury	-86.096055097901	44.628892241637	UD-10
201539281	C - possible injury	-88.002457730606	46.250241819486	UD-10
201539615	No injury	-84.374993926826	44.79095528009	UD-10
201539712	No injury	-85.942129992661	42.382238641889	UD-10
201540144	C - possible injury	-85.973182443957	41.983623401445	UD-10
201541015	No injury	-83.525079129041	44.793058607159	UD-10
201541016	C - possible injury	-83.710905733952	44.696924236573	UD-10
201541104	B - nonincapacitating injury	-85.009424739563	44.64090447431	UD-10
201541854	B - nonincapacitating injury	-84.322411066044	45.387324215226	UD-10
201542293	A - incapacitating injury	-85.951591969289	44.238197231663	UD-10
